,Date,Dividends
0,2010-02-10,0.0672
1,2010-05-12,0.0672
2,2010-08-11,0.0672
3,2010-11-10,0.0672
4,2011-02-11,0.0672
5,2011-05-11,0.0576
6,2011-08-11,0.072
7,2011-11-10,0.072
8,2012-02-13,0.072
9,2012-05-11,0.08
10,2012-08-13,0.08
11,2012-11-13,0.08
12,2013-02-13,0.08
13,2013-05-13,0.08
14,2013-08-13,0.08
15,2013-11-13,0.09
16,2014-02-12,0.09
17,2014-05-13,0.09
18,2014-08-13,0.09
19,2014-11-12,0.1
20,2015-02-11,0.1
21,2015-05-13,0.1
22,2015-08-12,0.1
23,2015-11-10,0.105
24,2016-02-10,0.105
25,2016-05-11,0.105
26,2016-08-11,0.105
27,2016-11-10,0.115
28,2017-02-13,0.115
29,2017-05-11,0.115
30,2017-08-11,0.115
31,2017-11-14,0.125
32,2018-02-14,0.125
33,2018-05-14,0.125
34,2018-08-14,0.125
35,2018-11-14,2.0
36,2019-02-14,0.135
37,2019-05-14,0.135
38,2019-08-14,0.135
39,2019-11-14,0.145
40,2020-02-13,0.145
41,2020-05-14,0.145
42,2020-08-13,0.145
43,2020-11-12,0.155
