,Date,Dividends
0,2010-03-29,0.31
1,2010-07-23,0.33
2,2010-09-29,0.33
3,2010-12-14,0.33
4,2011-03-30,0.33
5,2011-06-28,0.35
6,2011-09-28,0.35
7,2011-09-28,0.0
8,2012-01-10,0.47
9,2012-03-28,0.47
10,2012-07-27,0.49
11,2012-09-26,0.49
12,2012-12-13,0.49
13,2013-03-26,0.49
14,2013-07-19,0.51
15,2013-09-26,0.51
16,2013-09-26,0.0
17,2014-01-09,0.63
18,2014-01-13,0.63
19,2014-03-26,0.63
20,2014-07-21,0.65
21,2014-09-26,0.65
22,2014-12-15,0.65
23,2015-03-27,0.65
24,2015-06-26,0.67
25,2015-09-28,0.67
26,2015-12-29,0.67
27,2016-03-29,0.67
28,2016-06-28,0.69
29,2016-09-28,0.69
30,2016-12-28,0.69
31,2017-03-29,0.69
32,2017-06-28,0.71
33,2017-09-28,0.71
34,2017-12-28,0.71
35,2018-03-28,0.71
36,2018-06-21,0.73
37,2018-09-20,0.73
38,2018-12-20,0.73
39,2019-03-21,0.73
40,2019-06-20,0.75
41,2019-09-19,0.75
42,2019-12-19,0.75
43,2020-03-19,0.75
44,2020-06-18,0.78
45,2020-09-17,0.78
46,2020-12-17,0.78
